,
0,3587.44
1,3566.96
2,3650.00
3,3758.14
4,3871.43
5,4039.41
6,4140.70
7,4273.20
8,4273.20
9,4328.12
10,4559.78
11,4747.19
12,4947.67
13,5125.75
14,5200.00
15,5314.81
16,5314.81
17,5474.68
18,5557.69
19,5600.00
20,5686.27
21,5730.26
22,5865.77
23,6006.85
24,6055.17
25,6055.17
26,6204.23
27,6255.32
28,6307.14
29,6467.15
30,6413.04
31,6522.06
32,6577.78
33,6691.73
34,6691.73
35,6577.78
36,6691.73
37,6809.16
38,6869.23
39,6930.23
40,6992.19
41,6869.23
42,6869.23
43,6992.19
44,7119.05
45,7184.00
46,7317.07
47,7385.25
48,7385.25
49,7454.55
50,7454.55
51,7317.07
52,7385.25
53,7525.00
54,7669.49
55,7669.49
56,7743.59
57,7743.59
58,7743.59
59,7743.59
60,7818.97
61,7818.97
62,7818.97
63,7743.59
64,7743.59
65,7818.97
66,7743.59
67,7895.65
68,7973.68
69,8133.93
70,8216.22
71,8133.93
72,8133.93
73,8133.93
74,8133.93
75,8216.22
76,8385.32
77,8472.22
78,8560.75
79,8650.94
80,8650.94
81,8560.75
82,8742.86
83,8650.94
84,8742.86
85,8742.86
86,8836.54
87,8836.54
88,8742.86
89,8836.54
90,8932.04
91,8932.04
92,9029.41
93,9128.71
94,9029.41
95,9029.41
96,8932.04
97,8932.04
98,9029.41
99,9128.71
100,9029.41
101,9128.71
102,9230.00
103,9230.00
104,9230.00
105,9230.00
106,9333.33
107,9333.33
108,9333.33
109,9438.78
110,9438.78
111,9546.39
112,9656.25
113,9768.42
114,9768.42
115,9768.42
116,9768.42
117,9882.98
118,9656.25
119,9656.25
120,9656.25
121,9768.42
122,9882.98
123,10000.00
124,10000.00
125,10000.00
126,9882.98
127,9656.25
128,9768.42
129,9882.98
130,10000.00
131,9882.98
132,9882.98
133,9768.42
134,9882.98
135,9882.98
136,10000.00
137,10000.00
138,9882.98
139,9882.98
140,10000.00
141,10119.57
142,10241.76
143,10241.76
144,10366.67
145,10241.76
146,10366.67
147,10494.38
148,10494.38
149,10494.38
150,10625.00
151,10758.62
152,10758.62
153,10758.62
154,10895.35
155,10758.62
156,10895.35
157,10758.62
158,10895.35
159,10895.35
160,10895.35
161,11035.29
162,11035.29
163,11178.57
164,11178.57
165,11178.57
166,11178.57
167,11035.29
168,11178.57
169,11178.57
170,11325.30
171,11325.30
172,11325.30
173,11325.30
174,11325.30
175,11325.30
176,11325.30
177,11325.30
178,11325.30
179,11325.30
180,11325.30
181,11475.61
182,11475.61
183,11475.61
184,11629.63
185,11629.63
186,11629.63
187,11787.50
188,11475.61
189,11629.63
190,11475.61
191,11629.63
192,11787.50
193,11787.50
194,11787.50
195,11787.50
196,11949.37
197,11949.37
198,11949.37
199,11787.50
200,11787.50
201,11787.50
202,11949.37
203,11949.37
204,11949.37
205,11949.37
206,12115.38
207,12115.38
208,12115.38
209,12115.38
210,12115.38
211,11949.37
212,11949.37
213,12115.38
214,12115.38
215,12285.71
216,12285.71
217,11949.37
218,11949.37
219,12115.38
220,12285.71
221,12460.53
222,12460.53
223,12640.00
224,12640.00
225,12460.53
226,12640.00
227,12640.00
228,12824.32
229,12824.32
230,12824.32
231,12824.32
232,12824.32
233,12640.00
234,12460.53
235,12640.00
236,12640.00
237,12824.32
238,12824.32
239,12824.32
240,13013.70
241,13013.70
242,12824.32
243,13013.70
244,12824.32
245,12824.32
246,13013.70
247,13208.33
248,13208.33
249,13408.45
250,13208.33
251,13208.33
252,13208.33
253,13208.33
254,13013.70
255,13208.33
256,13208.33
257,13208.33
258,13208.33
259,13208.33
260,13208.33
261,13408.45
262,13408.45
263,13208.33
264,13013.70
265,13208.33
266,13208.33
267,13408.45
268,13408.45
269,13614.29
270,13408.45
271,13408.45
272,13408.45
273,13408.45
274,13208.33
275,13408.45
276,13408.45
277,13614.29
278,13408.45
279,13614.29
280,13614.29
281,13826.09
282,13826.09
283,13826.09
284,13614.29
285,13826.09
286,13826.09
287,14044.12
288,13826.09
289,13826.09
290,14044.12
291,13826.09
292,13826.09
293,14044.12
294,14044.12
295,13826.09
296,14044.12
297,14044.12
298,14044.12
299,13826.09
300,13826.09
301,14044.12
302,13826.09
303,13826.09
304,14044.12
305,14044.12
306,14044.12
307,14268.66
308,14268.66
309,14268.66
310,14268.66
311,14268.66
312,14268.66
313,14500.00
314,14500.00
315,14500.00
316,14500.00
317,14738.46
318,14500.00
319,14738.46
320,14738.46
321,14984.37
322,14984.37
323,14984.37
324,14738.46
325,14984.37
326,14738.46
327,14984.37
328,14984.37
329,14738.46
330,14738.46
331,14738.46
332,14984.37
333,14738.46
334,14738.46
335,14984.37
336,14984.37
337,14984.37
338,14984.37
339,15238.09
340,15238.09
341,14984.37
342,14984.37
343,14984.37
344,14984.37
345,15238.09
346,15238.09
347,15238.09
348,15238.09
349,15238.09
350,15238.09
351,15238.09
352,14984.37
353,15238.09
354,15238.09
355,15238.09
356,15238.09
357,15500.00
358,15238.09
359,15500.00
360,15500.00
361,15500.00
362,15500.00
363,15500.00
364,15500.00
365,15500.00
366,15770.49
367,15500.00
368,15238.09
369,15500.00
370,15238.09
371,15238.09
372,15238.09
373,15238.09
374,15500.00
375,15500.00
376,15500.00
377,15500.00
378,15500.00
379,15500.00
380,15770.49
381,15770.49
382,15770.49
383,15770.49
384,16050.00
385,15770.49
386,16050.00
387,16050.00
388,16050.00
389,16050.00
390,15770.49
391,15770.49
392,16050.00
393,15770.49
394,15770.49
395,15770.49
396,16050.00
397,16050.00
398,16050.00
